Drug1,Drug2,Compatibility,Code
TPN (with fats),DAE (without fats),Compatible,C
TPN (with fats),Aciclovir,Not compatible,X
TPN (with fats),Adrenaline,No information,NI
TPN (with fats),Alprostadil (PGE-1),Not compatible,X
TPN (with fats),Amphotericin (Conventional),Not compatible,X
TPN (with fats),Amikacin,Compatible,C
TPN (with fats),Ampicillin,Compatible if ampicillin concentration is less than or equal to 20 mg/mL,Cc
TPN (with fats),Ampi-sulbac,Compatible,C
TPN (with fats),Azithromycin,No information,NI
TPN (with fats),Caffeine citrate,Not compatible,X
TPN (with fats),Calcium Gluconate,Not compatible,X
TPN (with fats),Cefazolin,Not compatible,X
TPN (with fats),Cefepime,Not compatible,X
TPN (with fats),Cefotaxime,Compatible,C
TPN (with fats),Ceftazidime,Compatible,C
TPN (with fats),Chlorpromazine,Compatible,C
TPN (with fats),Clonidine,No information,NI
TPN (with fats),Cloxacillin,Compatible,C
TPN (with fats),Co-trimoxazole,Compatible,C
TPN (with fats),Dexamethasone,Compatible,C
TPN (with fats),Dexmedetomidine,Compatible,C
TPN (with fats),Dobutamine,Compatible,C
TPN (with fats),Dopamine,Compatible if dopamine concentration is less than 3.2 mg/mL (Neonatology Department consensus),Cd
TPN (with fats),Erythromycin,Compatible,C
TPN (with fats),Fentanyl,Compatible,C
TPN (with fats),Fluconazole,Compatible,C
TPN (with fats),Frusemide,Not compatible,X
TPN (with fats),Gentamicin,Not compatible,X
TPN (with fats),Heparin </= 1unit/mL,Compatible,C
TPN (with fats),Hydrocortisone,Not compatible,X
TPN (with fats),Indomethacin,Not compatible,X
TPN (with fats),"Insulin, Regular",Compatible,C
TPN (with fats),Ketamine,No information,NI
TPN (with fats),Magnesium Sulphate,Compatible,C
TPN (with fats),Meropenem,Not compatible,X
TPN (with fats),Metronidazole,Not compatible,X
TPN (with fats),Midazolam,Not compatible,X
TPN (with fats),Milrinone,Compatible,C
TPN (with fats),Morphine,Compatible,C
TPN (with fats),Noradrenaline,Compatible,C
TPN (with fats),Paracetamol,Compatible,C
TPN (with fats),Penicllin G Sodium,Compatible,C
TPN (with fats),Phenobarbitone,Not compatible,X
TPN (with fats),Phenytoin,Not compatible,X
TPN (with fats),Phytomenadione (Vitamin K),No information,NI
TPN (with fats),Piperacillin-tazobactam,Compatible,C
TPN (with fats),Rocuronium,Not compatible,X
TPN (with fats),Sodium Acetate,Compatible,C
TPN (with fats),Sodium bicarbonate,Not compatible,X
TPN (with fats),Vancomycin,Compatible,C
TPN (with fats),Vasopressin,No information,NI
DAE (without fats),Aciclovir,Not compatible,X
DAE (without fats),Adrenaline,Compatible based on Neonatology Dept consensus (refer information in chart box),Cf
DAE (without fats),Alprostadil (PGE-1),Compatible,C
DAE (without fats),Amphotericin (Conventional),Not compatible,X
DAE (without fats),Amikacin,Compatible,C
DAE (without fats),Ampicillin,Compatible if ampicillin concentration is less than or equal to 20 mg/mL,Cc
DAE (without fats),Ampi-sulbac,Compatible,C
DAE (without fats),Azithromycin,Compatible,C
DAE (without fats),Caffeine citrate,Compatible,C
DAE (without fats),Calcium Gluconate,Not compatible,X
DAE (without fats),Cefazolin,Not compatible,X
DAE (without fats),Cefepime,Compatible,C
DAE (without fats),Cefotaxime,Compatible,C
DAE (without fats),Ceftazidime,Compatible,C
DAE (without fats),Chlorpromazine,Compatible,C
DAE (without fats),Clonidine,No information,NI
DAE (without fats),Cloxacillin,Compatible,C
DAE (without fats),Co-trimoxazole,Compatible,C
DAE (without fats),Dexamethasone,Compatible,C
DAE (without fats),Dexmedetomidine,Compatible,C
DAE (without fats),Dobutamine,Compatible,C
DAE (without fats),Dopamine,Compatible,C
DAE (without fats),Erythromycin,Compatible,C
DAE (without fats),Fentanyl,Compatible,C
DAE (without fats),Fluconazole,Compatible,C
DAE (without fats),Frusemide,Not compatible,X
DAE (without fats),Gentamicin,Compatible,C
DAE (without fats),Heparin </= 1unit/mL,Compatible,C
DAE (without fats),Hydrocortisone,Compatible,C
DAE (without fats),Indomethacin,Not compatible,X
DAE (without fats),"Insulin, Regular",Compatible,C
DAE (without fats),Ketamine,No information,NI
DAE (without fats),Magnesium Sulphate,Compatible,C
DAE (without fats),Meropenem,No information,NI
DAE (without fats),Metronidazole,Compatible,C
DAE (without fats),Midazolam,Not compatible,X
DAE (without fats),Milrinone,Compatible,C
DAE (without fats),Morphine,Compatible,C
DAE (without fats),Noradrenaline,Compatible,C
DAE (without fats),Paracetamol,Compatible,C
DAE (without fats),Penicllin G Sodium,Compatible,C
DAE (without fats),Phenobarbitone,Not compatible,X
DAE (without fats),Phenytoin,Not compatible,X
DAE (without fats),Phytomenadione (Vitamin K),Compatible,C
DAE (without fats),Piperacillin-tazobactam,Compatible,C
DAE (without fats),Rocuronium,Compatible,C
DAE (without fats),Sodium Acetate,Compatible,C
DAE (without fats),Sodium bicarbonate,Not compatible,X
DAE (without fats),Vancomycin,Compatible,C
DAE (without fats),Vasopressin,Compatible,C
Aciclovir,Adrenaline,No information,NI
Aciclovir,Alprostadil (PGE-1),No information,NI
Aciclovir,Amphotericin (Conventional),Not compatible,X
Aciclovir,Amikacin,Compatible,C
Aciclovir,Ampicillin,Compatible,C
Aciclovir,Ampi-sulbac,Not compatible,X
Aciclovir,Azithromycin,Compatible,C
Aciclovir,Caffeine citrate,Not compatible,X
Aciclovir,Calcium Gluconate,Compatible,C
Aciclovir,Cefazolin,Compatible,C
Aciclovir,Cefepime,Not compatible,X
Aciclovir,Cefotaxime,Compatible,C
Aciclovir,Ceftazidime,Compatible,C
Aciclovir,Chlorpromazine,Not compatible,X
Aciclovir,Clonidine,No information,NI
Aciclovir,Cloxacillin,Compatible,C
Aciclovir,Co-trimoxazole,Compatible,C
Aciclovir,Dexamethasone,Compatible,C
Aciclovir,Dexmedetomidine,Compatible,C
Aciclovir,Dobutamine,Not compatible,X
Aciclovir,Dopamine,Not compatible,X
Aciclovir,Erythromycin,Compatible,C
Aciclovir,Fentanyl,Compatible,C
Aciclovir,Fluconazole,Compatible,C
Aciclovir,Frusemide,Compatible,C
Aciclovir,Gentamicin,No information,NI
Aciclovir,Heparin </= 1unit/mL,Compatible,C
Aciclovir,Hydrocortisone,Compatible,C
Aciclovir,Indomethacin,No information,NI
Aciclovir,"Insulin, Regular",Compatible,C
Aciclovir,Ketamine,Not compatible,X
Aciclovir,Magnesium Sulphate,Compatible,C
Aciclovir,Meropenem,Not compatible,X
Aciclovir,Metronidazole,Compatible,C
Aciclovir,Midazolam,Not compatible,X
Aciclovir,Milrinone,Compatible,C
Aciclovir,Morphine,Not compatible,X
Aciclovir,Noradrenaline,No information,NI
Aciclovir,Paracetamol,Not compatible,X
Aciclovir,Penicllin G Sodium,No information,NI
Aciclovir,Phenobarbitone,Compatible,C
Aciclovir,Phenytoin,Not compatible,X
Aciclovir,Phytomenadione (Vitamin K),No information,NI
Aciclovir,Piperacillin-tazobactam,Not compatible,X
Aciclovir,Rocuronium,Compatible,C
Aciclovir,Sodium Acetate,Compatible,C
Aciclovir,Sodium bicarbonate,Compatible,C
Aciclovir,Vancomycin,Compatible,C
Aciclovir,Vasopressin,Compatible,C
Adrenaline,Alprostadil (PGE-1),No information,NI
Adrenaline,Amphotericin (Conventional),No information,NI
Adrenaline,Amikacin,No information,NI
Adrenaline,Ampicillin,No information,NI
Adrenaline,Ampi-sulbac,No information,NI
Adrenaline,Azithromycin,No information,NI
Adrenaline,Caffeine citrate,No information,NI
Adrenaline,Calcium Gluconate,Compatible based on Neonatology Dept consensus (refer information in chart box),Cf
Adrenaline,Cefazolin,No information,NI
Adrenaline,Cefepime,No information,NI
Adrenaline,Cefotaxime,No information,NI
Adrenaline,Ceftazidime,No information,NI
Adrenaline,Chlorpromazine,No information,NI
Adrenaline,Clonidine,No information,NI
Adrenaline,Cloxacillin,No information,NI
Adrenaline,Co-trimoxazole,No information,NI
Adrenaline,Dexamethasone,No information,NI
Adrenaline,Dexmedetomidine,No information,NI
Adrenaline,Dobutamine,Compatible based on Neonatology Dept consensus (refer information in chart box),Cf
Adrenaline,Dopamine,Compatible based on Neonatology Dept consensus (refer information in chart box),Cf
Adrenaline,Erythromycin,No information,NI
Adrenaline,Fentanyl,Compatible,C
Adrenaline,Fluconazole,No information,NI
Adrenaline,Frusemide,No information,NI
Adrenaline,Gentamicin,No information,NI
Adrenaline,Heparin </= 1unit/mL,Compatible based on Neonatology Dept consensus (refer information in chart box),Cf
Adrenaline,Hydrocortisone,No information,NI
Adrenaline,Indomethacin,No information,NI
Adrenaline,"Insulin, Regular",No information,NI
